Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2025-I,Medicina Tipo A,34,"Para medir el riesgo de una enfermedad en la comunidad, se utilizan medidas de morbilidad como la incidencia que mide la …... y la prevalencia que mide la …… de la enfermedad.",virulencia / frecuencia,proporción / frecuencia,velocidad / magnitud,casos antiguos / casos nuevos,C,velocidad / magnitud
2025-I,Medicina Tipo A,35,"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del estudio?",Sus resultados no serán extrapolables,Demandará costos económicos muy elevados,El análisis estadístico será muy complejo,No permitirá hallar asociación de variables,D,No permitirá hallar asociación de variables
2025-I,Medicina Tipo A,36,"El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear y evaluar los medicamentos en los sectores públicos y privados.",DIGEMID,CENARES,DIGESA,CENSOPAS,A,DIGEMID
2025-I,Medicina Tipo A,37,"Mujer de 55 años, señala que su esposo se hizo prueba de papilomavirus y salió positiva. Acude a control al centro materno y le realizan tamizaje con PAP que salió positivo. ¿Qué prueba está en el siguiente paso en el flujograma de atención de cáncer de cuello uterino?",Curetaje endocervical,Colposcopía,Nuevo PAP,Tomar biopsias,B,Colposcopía
2025-I,Medicina Tipo A,38,"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es el nivel de atención en el que se encuentra?",I-3,I-1,I-2,I-4,C,I-2
2025-I,Medicina Tipo A,39,"El C.S. Paz, ha sectorizado su jurisdicción para realizar intervenciones de promoción y prevención basados en el Modelo de Cuidado Integral de la Familia y Comunidad por Curso de Vida. En el marco de las Funciones Esenciales de la Salud Pública renovada, esta acción corresponde a la etapa de:",Evaluación,Acceso,Asignación de recursos,Desarrollo de políticas,B,Acceso
2025-I,Medicina Tipo A,40,En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para verificarla?,Matriz de consistencia,Lista de verificación,Revisión de Turniting,Matriz de operacionalización,A,Matriz de consistencia
2025-I,Medicina Tipo A,41,La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los problemas de salud y autocontrolar el proceso de salud-enfermedad.,restringir o acortar,atenuar o eliminar,controlar o mantener,diferir o mitigar,B,atenuar o eliminar
2025-I,Medicina Tipo A,42,"El POI Multianual del Ministerio de Salud es ……, en el cual se establece la programación de metas físicas y de costeo que se espera alcanzar en los próximos tres años.",herramienta de gestión,instrumento de articulación,herramienta de articulación,instrumento de gestión,D,instrumento de gestión
2025-I,Medicina Tipo A,43,"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, FR: 28X'. ¿Qué tipo de dengue es?",Hemorrágico con signos de alarma,Grave,Confirmado sin signos de alarma,Probable con signos de alarma,D,Probable con signos de alarma
2025-I,Medicina Tipo A,44,"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este cometido?",Consentimiento informado,Compromiso paterno,Carta de investigación,Asentimiento informado,A,Consentimiento informado
2025-I,Medicina Tipo A,45,¿Cuál es la mejor conducta frente a un personal de salud asistencial que no puede acreditar su vacunación previa contra el virus de Hepatitis B en el primer nivel de atención?,Vacunación de una dosis de refuerzo,No es obligatoria su vacunación,Referencia a un hospital,Vacunación desde la primera dosis,D,Vacunación desde la primera dosis
2025-I,Medicina Tipo A,46,¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,"El abordaje territorial, espacios participativos y la familia como base",Los cambios en la realidad económico-social y ordenanzas municipales,La actitud política y el esfuerzo de la administración local,La participación comunitaria y escuelas saludables,A,"El abordaje territorial, espacios participativos y la familia como base"
2025-I,Medicina Tipo A,47,En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los sensores?,Dependientes del sistema de monitoreo,Con exactitud de aproximadamente 0.3°C,Deben estar calibrados,Áreas con poca variabilidad en temperatura,C,Deben estar calibrados
2025-I,Medicina Tipo A,48,"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. ¿Qué principios éticos debe cumplirse?","Silencio, manejo de la información","Veracidad, lealtad, eficiencia",Respeto y atención diferenciada,"Respeto, probidad y eficiencia",D,"Respeto, probidad y eficiencia"
2025-I,Medicina Tipo A,49,"En el análisis FODA, los aspectos positivos de los recursos y actividades internas con que cuenta la institución, se les define cómo:",Estrategias,Fortalezas,Oportunidades,Amenazas,B,Fortalezas
2025-I,Medicina Tipo A,50,¿Qué grupo de pacientes tienen indicación de terapia preventiva para la tuberculosis?,Sin diagnóstico de ITBL que pertenecen a grupos con corticoterapia e inmunosupresores,Adultos que son contactos de caso índice-TB pulmonar y pacientes con VIH,Personas que no tienen diagnóstico de infección tuberculosa latente,Pacientes con tuberculosis sensible,B,Adultos que son contactos de caso índice-TB pulmonar y pacientes con VIH
2025-I,Medicina Tipo A,51,"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, creencias, conductas y normas?",Valores institucionales,Cultura organizacional,Principios institucionales,Clima organizacional,B,Cultura organizacional
2025-I,Medicina Tipo A,52,"Varón de 20 años HSH, que acude a la consulta por presentar erupciones genitales y orales, además dolor ano-rectal y sangrado leve. Ha tenido dolor de cabeza, fiebre, mialgias y adenopatías cervicales hace 2 días. ¿Cuál es el tipo de diagnóstico de viruela del mono?",Confirmado,Caso secundario,Sospechoso,Contacto directo,C,Sospechoso
2025-I,Medicina Tipo A,53,"En adultos de 18 años a más con HTA esencial, sin otras comorbilidades. ¿Qué grupo farmacológico se debe prescribir como primera elección?",Inhibidores de aldosterona,Betabloqueadores,Diuréticos de asa,Diuréticos tiazídicos,D,Diuréticos tiazídicos
2025-I,Medicina Tipo A,54,"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",al amanecer y al atardecer,al atardecer y durante la noche,a medio día y sin lluvia,solo en época de lluvias,A,al amanecer y al atardecer
2025-I,Medicina Tipo A,55,"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que requiere. ¿Éste enunciado se denomina?",Salud pública,Cultura,Población indígena,Interculturalidad en salud,D,Interculturalidad en salud
2025-I,Medicina Tipo A,56,"Usted desea motivar a su personal de salud para realizar una investigación científica sobre la anemia infantil en su comunidad, para ello les dice que el principal propósito de la investigación científica es...",consolidar el trabajo en equipo.,generar conocimiento científico útil.,mejorar la gestión de la salud.,captar inversiones en salud.,B,generar conocimiento científico útil.
2025-I,Medicina Tipo A,57,Dentro del modelo de atención integral en la etapa de vida adulto mayor. ¿Qué test de valoración de deterioro cognitivo puede aplicar en el primer nivel de atención?,De Pfeiffer,De Yesavage,Del reloj,MOCA,A,De Pfeiffer
2025-I,Medicina Tipo A,58,Dentro de las intervenciones de promoción de la salud. El programa “familia saludable” considera a la a familia como la unidad de ...... de mayor eficacia.,análisis,intervención,soporte,riesgo,B,intervención
2025-I,Medicina Tipo A,59,"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de todos los datos observados entre el total de observaciones?",Rango,Mediana,Media,Moda,C,Media
2025-I,Medicina Tipo A,60,Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe considerar para el archivo pasivo de historias clínicas que no han sido requeridas?,Más de 15,Más de 5,Más de 1,Más de 10,B,Más de 5
2025-I,Medicina Tipo A,61,"Dentro del petitorio nacional único de medicamentos esenciales para el sector salud existen consideraciones especiales de su uso, por lo cual requieren de un manejo especializado. ¿Qué tipo de medicamentos están en este rubro?",Para métodos de planificación familiar,Controlado para infecciones intrahospitalarias,Exclusivo para dolor oncológico,Específico para hepatitis A,C,Exclusivo para dolor oncológico
2025-I,Medicina Tipo A,62,"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de cambiar, se identifican como:",Negatividad,Oportunidades,Debilidades,Amenazas,D,Amenazas
2025-I,Medicina Tipo A,63,"Gestante de 36 años de edad, acude con cefalea intensa y visión borrosa; antecedente: HTA. Al examen: REG, BEN, BEH, LOTEP, FC: 70X'; FR: 20X'; T°: 36.8°C; PA: 170/110mmHg; edema en miembros inferiores sin fóvea. Laboratorio: creatinina 1.2 mg/dl, plaquetas: 150.000/mm3. ¿Cuál es la conducta a seguir?",Sulfato de magnesio intravenoso,Finalizar el embarazo,Administrar nifedipino vía oral,Transfusión de plaquetas,A,Sulfato de magnesio intravenoso
2025-I,Medicina Tipo A,64,"Un paciente desea realizar un reclamo por un posible maltrato de un trabajador del establecimiento de salud contra él, al no respetarse el orden de llegada para la atención. ¿Qué procedimiento corresponde?",Sugerencia,Consejería,Queja,Consulta,C,Queja
2025-I,Medicina Tipo A,65,"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, prevención, recuperación o rehabilitación de las enfermedades”.",Telemonitoreo,Teleconsulta,Teleorientación,Teleinterconsulta,C,Teleorientación
2025-I,Medicina Tipo A,66,Según la normativa nacional de salud para la prevención y control de la anemia. ¿Cuál es la dosis oral diaria de hierro elemental y ácido fólico recomendada para tratamiento de una gestante con anemia ferropénica?,120 mg y 800 ug,80 mg y 600 ug,60 mg y 400 ug,200 mg y 1000 ug,A,120 mg y 800 ug
